region,bygnType,statistikkvariabel,aar,value,k_kode,kommune_nr,fylkesnr,fylke
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2021,336,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2022,336,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2023,336,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2024,285,K-3103,3103,31,Østfold
Moss,Bygning for bofellesskap,Boliger (bebodde og ubebodde),2025,337,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2006,716,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2007,637,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2008,669,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2009,687,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2010,685,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2011,703,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2012,702,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2013,709,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2014,734,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2015,720,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2016,743,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2017,743,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2018,771,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2019,770,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2020,522,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2021,523,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2022,531,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2023,512,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2024,519,K-3103,3103,31,Østfold
Moss,Andre bygningstyper,Boliger (bebodde og ubebodde),2025,522,K-3103,3103,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2006,12339,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2007,12418,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2008,12528,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2009,12669,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2010,12755,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2011,12877,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2012,12755,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2013,12796,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2014,12819,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2015,12858,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2016,12915,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2017,12982,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2018,13028,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2019,13070,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2020,13137,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2021,13172,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2022,13194,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2023,13244,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2024,13295,K-3105,3105,31,Østfold
Sarpsborg,Enebolig,Boliger (bebodde og ubebodde),2025,13327,K-3105,3105,31,Østfold
Sarpsborg,Tomannsbolig,Boliger (bebodde og ubebodde),2006,3395,K-3105,3105,31,Østfold
Sarpsborg,Tomannsbolig,Boliger (bebodde og ubebodde),2007,3302,K-3105,3105,31,Østfold
Sarpsborg,Tomannsbolig,Boliger (bebodde og ubebodde),2008,3244,K-3105,3105,31,Østfold
Sarpsborg,Tomannsbolig,Boliger (bebodde og ubebodde),2009,3214,K-3105,3105,31,Østfold
Sarpsborg,Tomannsbolig,Boliger (bebodde og ubebodde),2010,3223,K-3105,3105,31,Østfold
Sarpsborg,Tomannsbolig,Boliger (bebodde og ubebodde),2011,3208,K-3105,3105,31,Østfold
Sarpsborg,Tomannsbolig,Boliger (bebodde og ubebodde),2012,3197,K-3105,3105,31,Østfold
Sarpsborg,Tomannsbolig,Boliger (bebodde og ubebodde),2013,3199,K-3105,3105,31,Østfold
